id,measurementID,measurementType,measurementValue,measurementUnit
2E818B91-5403-40C4-894D-303D0CB03C96,76372,Perpendicular distance from transect line as reported by the field worker,99,m
38F2F068-47E4-4E2D-89C0-30483866F7E3,32871,Perpendicular distance from transect line as reported by the field worker,87,m
ED67F91F-1653-4430-9F8C-304DAB32B9F0,36668,Perpendicular distance from transect line as reported by the field worker,86,m
943D8345-6E07-4EE4-A826-322C7E9E3996,76367,Perpendicular distance from transect line as reported by the field worker,62,m
683354F9-DD87-4E83-B7B4-366F95D75722,67344,Perpendicular distance from transect line as reported by the field worker,206,m
D094ECEA-E695-47CA-84A4-371973412ED3,33217,Perpendicular distance from transect line as reported by the field worker,0,m
0A353C31-0EA6-45CD-8487-385649755622,76514,Perpendicular distance from transect line as reported by the field worker,2,m
B2F1CC21-CEE9-43F3-BA35-3A09E04EEAE8,76357,Perpendicular distance from transect line as reported by the field worker,31,m
C4528CBE-AB70-4BAD-B985-48567FFE59A0,76358,Perpendicular distance from transect line as reported by the field worker,25,m
2649D6B6-E428-417F-8F5D-49E1571BC331,76371,Perpendicular distance from transect line as reported by the field worker,28,m
F208440B-EF3E-48C2-B9A1-4FC74709F9C6,76370,Perpendicular distance from transect line as reported by the field worker,37,m
0D4F4AE3-F796-4FEA-9652-50CCDF0B06A8,48587,Perpendicular distance from transect line as reported by the field worker,7,m
0C2D8A1B-B3EA-4811-A671-52AD7CF58B1D,48607,Perpendicular distance from transect line as reported by the field worker,188,m
E5F528BB-41FA-4F85-A392-5769765D7578,67283,Perpendicular distance from transect line as reported by the field worker,31,m
F9FA4A52-29B9-440F-9217-613E2E5F65B2,76369,Perpendicular distance from transect line as reported by the field worker,6,m
CA8F71E7-6494-4C65-936A-633ECE2E9303,67322,Perpendicular distance from transect line as reported by the field worker,4,m
BD11F755-59A5-4D18-B1BF-63522F5916A3,67275,Perpendicular distance from transect line as reported by the field worker,84,m
AA77B057-5344-4FFC-A9EE-66BCAB0EEA17,76365,Perpendicular distance from transect line as reported by the field worker,115,m
BF911B34-5535-424C-BD93-687DF40C6489,48685,Perpendicular distance from transect line as reported by the field worker,80,m
075D2A75-E272-43AE-B346-6917007C97EF,48609,Perpendicular distance from transect line as reported by the field worker,92,m
B4FB77C7-DD4C-401A-923A-6B8B84478862,48608,Perpendicular distance from transect line as reported by the field worker,46,m
9A3A6933-CC09-4EE2-932D-6C5DC0737E10,67276,Perpendicular distance from transect line as reported by the field worker,100,m
A7AEA349-CFA2-4466-A786-6ED6DFB07D51,36666,Perpendicular distance from transect line as reported by the field worker,44,m
5B86DF49-466F-4402-916E-6F88730C1178,67343,Perpendicular distance from transect line as reported by the field worker,100,m
D3F88B6B-CD6E-42F6-B2A8-702530E4F244,40054,Perpendicular distance from transect line as reported by the field worker,6,m
28120966-7CD2-4ED7-855B-7973E1E057AF,76402,Perpendicular distance from transect line as reported by the field worker,101,m
27490F59-D08F-422A-BB19-7AC81CD21794,76449,Perpendicular distance from transect line as reported by the field worker,114,m
AD0D3438-C63E-4AE8-8847-7B6F763FBD61,40052,Perpendicular distance from transect line as reported by the field worker,18,m
56768224-373F-4CB9-B6B8-7BD95CEEB197,67278,Perpendicular distance from transect line as reported by the field worker,49,m
59325F30-C127-4936-96DC-825F8EA7512F,67279,Perpendicular distance from transect line as reported by the field worker,3,m
73A9B619-ABBD-408C-8943-826C718D89E3,48858,Perpendicular distance from transect line as reported by the field worker,69,m
5B7B22F2-8B57-4042-9F41-8A5CBB18AF9F,67303,Perpendicular distance from transect line as reported by the field worker,2,m
898ED5FE-C93C-421A-BFFB-8E6A29459046,67277,Perpendicular distance from transect line as reported by the field worker,174,m
F04364BB-8B87-49FE-BFA9-949BFBF93427,76453,Perpendicular distance from transect line as reported by the field worker,1,m
67CA9A2D-7B81-4EFD-8819-94F8AD843026,67321,Perpendicular distance from transect line as reported by the field worker,20,m
69A0AB43-A520-4A16-984D-961030DEE12F,76451,Perpendicular distance from transect line as reported by the field worker,140,m
66786018-803F-4082-BD15-96E0A99115AB,67327,Perpendicular distance from transect line as reported by the field worker,152,m
E0041AA9-9C9B-4D67-914F-96F1AA9AFDB0,32868,Perpendicular distance from transect line as reported by the field worker,3,m
8C26AD06-F96C-4B6F-80EA-9A032E832A39,48855,Perpendicular distance from transect line as reported by the field worker,66,m
14C5FF82-6B1B-45BB-AEE8-9B4CB630F148,67325,Perpendicular distance from transect line as reported by the field worker,147,m
F3D5D7DB-4E34-496F-81F6-A4BAB106C56F,32904,Perpendicular distance from transect line as reported by the field worker,66,m
5757B86C-36AA-4633-95E4-A59677D1B45F,32869,Perpendicular distance from transect line as reported by the field worker,10,m
EFE89F50-0E8D-44EA-B592-AACC588DAB46,76359,Perpendicular distance from transect line as reported by the field worker,2,m
96256A8D-3951-4DB3-934C-ADEE36D04151,76364,Perpendicular distance from transect line as reported by the field worker,185,m
E623C945-8B19-43F3-AB9C-AF838184B033,76355,Perpendicular distance from transect line as reported by the field worker,50,m
E3FF7F7F-A8FB-4FF7-9346-B24650283AFA,76452,Perpendicular distance from transect line as reported by the field worker,17,m
3973C41C-E892-4868-9512-B5EECA5E18A1,76403,Perpendicular distance from transect line as reported by the field worker,13,m
3DB0E50C-D92D-408F-A0E0-B81FA0168CDD,48854,Perpendicular distance from transect line as reported by the field worker,107,m
79A3088F-4F0E-48F0-B515-B8D7C2B3CCA8,32870,Perpendicular distance from transect line as reported by the field worker,74,m
C29E5A77-5624-45CC-98F9-B9EE75D21083,33235,Perpendicular distance from transect line as reported by the field worker,0,m
430A2737-3C22-411F-B781-BB7F0CB277F6,33233,Perpendicular distance from transect line as reported by the field worker,64,m
6EFF4916-235A-49FD-A527-BBD5C3154C1F,32865,Perpendicular distance from transect line as reported by the field worker,27,m
E4B5ED4E-840B-457F-B1ED-C0CC4E31488D,67575,Perpendicular distance from transect line as reported by the field worker,133,m
937F845D-1E44-486B-BD4A-C0D3C09E0A25,36656,Perpendicular distance from transect line as reported by the field worker,29,m
2FA9A46E-E1DB-459E-8FB9-C17F2E7707C6,67300,Perpendicular distance from transect line as reported by the field worker,8,m
90F1E416-6B40-41AF-B349-C1A53D66B933,33216,Perpendicular distance from transect line as reported by the field worker,117,m
DBB22D74-85E1-4C89-A5A5-C55AA6ACBFFC,67281,Perpendicular distance from transect line as reported by the field worker,33,m
FE230E66-0D9E-4FD6-94C0-C604B9E1ABAC,48687,Perpendicular distance from transect line as reported by the field worker,79,m
65CF1480-5243-494F-BD19-CB419E3A6F0E,67324,Perpendicular distance from transect line as reported by the field worker,110,m
6425E290-E46C-476B-9E1D-CD40E6DAEB9E,48688,Perpendicular distance from transect line as reported by the field worker,78,m
761886BC-471C-4482-BBD1-D01D7691FCF8,48684,Perpendicular distance from transect line as reported by the field worker,52,m
0FCD4C6C-CEFA-40A4-99A0-D189D2B0F6C9,76450,Perpendicular distance from transect line as reported by the field worker,107,m
819B98CB-421D-48A1-BDAC-D1DE07A8E778,36665,Perpendicular distance from transect line as reported by the field worker,2,m
99178DBD-079E-4836-8031-D6312AB06665,40051,Perpendicular distance from transect line as reported by the field worker,105,m
B0052208-61B5-4B53-A1C4-DDB325E26E11,67323,Perpendicular distance from transect line as reported by the field worker,14,m
9764029F-6163-4E60-94A7-DF7A0E439300,48856,Perpendicular distance from transect line as reported by the field worker,11,m
9CDB7960-D1F2-4D88-8996-E4B777EC941C,67302,Perpendicular distance from transect line as reported by the field worker,221,m
909A41A4-0EA4-43CE-89C5-E5E87934155C,67432,Perpendicular distance from transect line as reported by the field worker,19,m
B82A7A7E-9126-47DD-8D97-E9A5A78C125F,48586,Perpendicular distance from transect line as reported by the field worker,4,m
44ED7B97-2F94-4F32-9FBA-F36676203B6E,48686,Perpendicular distance from transect line as reported by the field worker,77,m
DFEE4147-844C-41FE-9DAA-F644E5D31104,76562,Perpendicular distance from transect line as reported by the field worker,4,m
729C1D98-57C8-4165-AB66-F6C4AA287538,40053,Perpendicular distance from transect line as reported by the field worker,6,m
826211F3-1EF0-4536-85C3-F94B87D41CCB,48588,Perpendicular distance from transect line as reported by the field worker,55,m
C0DCBD16-80D0-4416-A32C-F9A1007A9E05,76366,Perpendicular distance from transect line as reported by the field worker,14,m
